Year_Birth,Education,Income
1970,Graduation,84835.0
1961,Graduation,57091.0
1958,Graduation,67267.0
1967,Graduation,32474.0
1989,Graduation,21474.0
1958,PhD,71691.0
1954,2n Cycle,63564.0
1967,Graduation,44931.0
1954,PhD,65324.0
1954,PhD,65324.0
1947,2n Cycle,81044.0
1979,Master,62499.0
1959,PhD,67786.0
1981,Graduation,26872.0
1969,Graduation,4428.0
1977,Graduation,54809.0
1977,Graduation,54809.0
1958,PhD,32173.0
1960,2n Cycle,47823.0
1958,Master,30523.0
1954,Master,36634.0
1966,Master,43456.0
1979,Master,40662.0
1976,PhD,49544.0
1969,Graduation,57731.0
1965,Master,33168.0
1956,Graduation,54450.0
1956,Graduation,54450.0
1956,PhD,35340.0
1975,Graduation,73170.0
1971,PhD,65808.0
1986,Graduation,79529.0
1972,PhD,34578.0
1974,PhD,46374.0
1990,Graduation,18351.0
1987,PhD,95169.0
1984,2n Cycle,65370.0
1960,Master,39228.0
1961,PhD,84865.0
1968,Graduation,61314.0
1972,Graduation,21359.0
1955,PhD,66465.0
1983,2n Cycle,81698.0
1986,Graduation,39146.0
1970,2n Cycle,25959.0
1961,Graduation,64260.0
1973,Graduation,32300.0
1965,Master,74806.0
1970,Graduation,72967.0
1960,Graduation,48904.0
1984,2n Cycle,14796.0
1954,Master,66991.0
1978,2n Cycle,52195.0
1956,Graduation,90369.0
1974,Basic,18393.0
1952,Graduation,47139.0
1973,Master,38576.0
1975,PhD,61905.0
1962,Graduation,83715.0
1964,Graduation,60597.0
1982,Master,6560.0
1961,Master,48330.0
1968,PhD,38236.0
1977,Master,22701.0
1974,Master,53367.0
1986,Graduation,34728.0
1956,Master,63915.0
1960,2n Cycle,82504.0
1972,PhD,38578.0
1972,PhD,38578.0
1975,PhD,79174.0
1962,2n Cycle,81975.0
1977,Master,43263.0
1970,Graduation,27242.0
1971,Graduation,76445.0
1965,Graduation,75276.0
1963,Graduation,34213.0
1976,PhD,72335.0
1964,Master,79143.0
1947,Graduation,27469.0
1969,Graduation,68695.0
1969,Graduation,68695.0
1957,Graduation,50388.0
1970,PhD,77622.0
1962,Graduation,46102.0
1980,2n Cycle,31859.0
1987,2n Cycle,23830.0
1973,Graduation,24639.0
1945,PhD,71604.0
1984,Graduation,27255.0
1977,Graduation,55375.0
1960,PhD,77037.0
1970,Graduation,24163.0
1969,PhD,69476.0
1979,Graduation,72063.0
1962,Master,58646.0
1962,Master,58646.0
1949,Master,47570.0
1980,Graduation,80011.0
1956,PhD,54998.0
1948,PhD,60200.0
1982,Graduation,63211.0
1973,PhD,48432.0
1973,PhD,48432.0
1973,PhD,48432.0
1949,Master,62845.0
1949,Master,62845.0
1965,PhD,65220.0
1990,PhD,74214.0
1980,2n Cycle,96547.0
1955,Graduation,53863.0
1970,Graduation,50447.0
1953,Graduation,37716.0
1982,Graduation,45203.0
1975,Master,37368.0
1955,Graduation,67225.0
1976,Master,65104.0
1976,Master,65104.0
1949,Master,81698.0
1968,Graduation,70566.0
1958,Graduation,69096.0
1962,Graduation,71434.0
1978,Graduation,33039.0
1978,Graduation,33039.0
1958,Graduation,46610.0
1958,Graduation,49967.0
1976,Graduation,53359.0
1971,Master,49505.0
1946,Master,68657.0
1954,Graduation,72071.0
1954,Graduation,72071.0
1967,Master,59235.0
1957,Graduation,21994.0
1957,Graduation,21994.0
1957,PhD,
1972,Graduation,69209.0
1989,Graduation,31928.0
1987,PhD,74004.0
1987,2n Cycle,30390.0
1985,Graduation,21355.0
1969,Graduation,26304.0
1989,2n Cycle,85710.0
1974,Graduation,102692.0
1971,Graduation,58350.0
1978,Graduation,7500.0
1984,Master,18890.0
1986,Basic,20425.0
1986,Basic,20425.0
1957,PhD,41437.0
1949,Master,49912.0
1949,Master,49912.0
1959,Graduation,79823.0
1954,Graduation,85683.0
1965,PhD,47025.0
1976,PhD,68397.0
1984,PhD,38175.0
1972,Master,46423.0
1972,Master,46423.0
1976,Master,30560.0
1976,Master,30560.0
1979,Graduation,60152.0
1965,Graduation,29672.0
1965,Graduation,29672.0
1947,Graduation,70321.0
1962,Graduation,56181.0
1990,Basic,24279.0
1969,PhD,68462.0
1976,PhD,55424.0
1973,Graduation,49094.0
1961,2n Cycle,59184.0
1987,Graduation,67430.0
1960,Master,30522.0
1977,2n Cycle,31878.0
1992,Graduation,83528.0
1979,Graduation,90300.0
1978,Master,68092.0
1972,Master,53761.0
1973,Graduation,52845.0
1976,Graduation,24027.0
1979,2n Cycle,7500.0
1955,Graduation,42586.0
1955,Graduation,42586.0
1973,Basic,9722.0
1975,PhD,86836.0
1972,Graduation,30467.0
1952,PhD,54549.0
1982,Graduation,19444.0
1956,Master,69245.0
1963,PhD,72968.0
1953,Graduation,48686.0
1990,Graduation,73687.0
1944,PhD,82716.0
1981,2n Cycle,35523.0
1975,PhD,60554.0
1956,Graduation,64090.0
1965,Graduation,61559.0
1962,PhD,71670.0
1951,PhD,67680.0
1981,Graduation,54386.0
1953,PhD,64108.0
1951,PhD,69702.0
1952,Graduation,47958.0
1960,Graduation,67716.0
1971,Graduation,34600.0
1971,Graduation,34600.0
1969,Graduation,48752.0
